id_raw,deComplemento,nuProcesso,dtEncaminhamentoFmt,sgOrgaoSetorOrigem,cdSistema,sgSetorAnterior,titulo,flRecusado,segDetalhamento,nuVolume,qtPagina,cdSetorAtual,nuProcessoOficial,vlUrgencia,flBloqueiaTrami,tramitacaoBloqueada,sgSetorAbertura,correspondencia,deAssunto,cdGrupoAssunto,key,cdAssunto,nuAno,digital,flPrazoProcesso,flTipoProcesso,flParecerTecnico,qtTramitacoesSetor,cdSistemaPrincipal,flPecaFisica,flSemRestricao,cdSetorAnterior,sgSetorAtual,size,dtEncaminhamento,numeroFormatado,cdOrgaoSetor,flProcedencia,cdUsuarioRecebto,nmUsuarioRecebto,dtRecebimento,cdUsuario,tags,deJsonTag,dtPrazoFmt,dtPrazo
1_2026_9816_1-1,"[Presencial] CANCELAMENTO DE DESPESAS FUNERÁRIAS

Solicitação de cancelamento das despesas com o funeral de sua filha Sra. Beatriz Oliveira do Rosario.",9816,20/03/2026,SMAS-511,64,SMAS-511,PMDI 00009816/2026 Vol. 1,0,1,1,0,178,9816,0,00000,False,SMAS-511,False,Cancelamento de Despesas Funerárias,24,1_2026_9816_1-1,24,2026,True,N,D,N,1,64,N,S,279,SF-2,1,2026-03-20,PMDI 00009816/2026,1,E,,,,,,,,
1_2026_9788_1-1,"[Presencial] CANCELAMENTO DE DESPESAS FUNERÁRIAS

Solicitação de cancelamento da dívida com o funeral de seu irmão Sr. Jose Cassiano de Lima",9788,20/03/2026,SMAS-511,64,SMAS-511,PMDI 00009788/2026 Vol. 1,0,1,1,0,178,9788,0,00000,False,SMAS-511,False,Cancelamento de Despesas Funerárias,24,1_2026_9788_1-1,24,2026,True,N,D,N,1,64,N,S,279,SF-2,1,2026-03-20,PMDI 00009788/2026,1,E,,,,,,,,
1_2026_9771_1-1,"[Presencial] CANCELAMENTO DE DESPESAS FUNERÁRIAS

Solicitação de cancelemento das depesas com o  funeral de sua mãe Sra. Maria Euridice da Silva.",9771,20/03/2026,SMAS-511,64,SMAS-511,PMDI 00009771/2026 Vol. 1,0,1,1,0,178,9771,0,00000,False,SMAS-511,False,Cancelamento de Despesas Funerárias,24,1_2026_9771_1-1,24,2026,True,N,D,N,1,64,N,S,279,SF-2,1,2026-03-20,PMDI 00009771/2026,1,E,,,,,,,,
1_2026_6248_1-1,"[Portal] RESTITUIÇÃO DE IPVA - REGISTRO OU TRANSFERÊNCIA DE VEÍCULO PARA DIADEMA  
Referente a Transferência de Veículo para Diadema 

Solicito a restituição do IPVA referente ao CID, no valor de 25% sobre o total pago.",6248,20/03/2026,SF-22,64,SF-22,PMDI 00006248/2026 Vol. 1,0,1,1,0,178,6248,0,00000,False,SF-22,False,Restituição de IPVA - Registro ou Transferência de Veículo para Diadema,176,1_2026_6248_1-1,176,2026,True,N,D,N,1,64,N,S,264,SF-2,1,2026-03-20,PMDI 00006248/2026,1,E,,,,,,,,
1_2026_4370_1-1,"[Portal] CANCELAMENTO DE DÉBITOS (IMÓVEL, CMC OU CONTRIBUINTE GERAL) 
 Inscrição Imobiliária: 93014

Na abertura informamos à Prefeitura que a empresa não estaria licenciando nenhuma atividade que necessitasse da vigilância sanitária, na época foi encaminhado o CLI para comprovação do mesmo, com emissão de 16/08/2023",4370,18/03/2026,SF-312,64,SS-412,PMDI 00004370/2026 Vol. 1,1,1,1,0,178,4370,0,00000,False,SF-312,False,"Cancelamento de Débitos (Imóvel, CMC ou Contribuinte Geral)",212,1_2026_4370_1-1,212,2026,True,N,D,N,2,64,N,S,309,SF-2,1,2026-03-18,PMDI 00004370/2026,1,E,,,,,,,,
1_2026_4148_1-1,"[Presencial] RECURSO DE AUTO DE INFRAÇÃO OU IMPUGNAÇÃO DE LANÇAMENTO
Inscrição Imobiliária (IPTU): 3100601100
Número do Auto de Infração: 2927/23
Número do Processo: PMDI 26719/2023

RECURSO DE NOTIFICAÇÃO",4148,05/03/2026,SF-312,64,SF-22,PMDI 00004148/2026 Vol. 1,0,1,1,0,178,4148,0,00000,False,,False,Recurso de Auto de Infração ou Impugnação de Lançamento,215,1_2026_4148_1-1,215,2026,True,N,D,N,1,64,N,S,264,SF-2,1,2026-03-05,PMDI 00004148/2026,1,E,VANESSAF.SILVA,Vanessa Ferreira Da Silva,2026-03-05,,,,,
1_2026_3365_1-1,"[Presencial] RECURSO DE AUTO DE INFRAÇÃO OU IMPUGNAÇÃO DE LANÇAMENTO
Inscrição Imobiliária (IPTU): 3301406100
Número do Auto de Infração: 3045/23
Número do Processo: 28701/2023

RECURSO DE NOTIFICAÇÃO",3365,27/02/2026,SF-312,64,SF-22,PMDI 00003365/2026 Vol. 1,0,1,1,0,178,3365,0,00000,False,SF-312,False,Recurso de Auto de Infração ou Impugnação de Lançamento,215,1_2026_3365_1-1,215,2026,True,N,D,N,1,64,N,S,264,SF-2,1,2026-02-27,PMDI 00003365/2026,1,E,VANESSAF.SILVA,Vanessa Ferreira Da Silva,2026-02-27,,,,,
1_2026_2737_1-1,"[PI] PROCEDIMENTO INTERNO 
Solicito a abertura de procedimento interno para acompanhamento da taxa de permissão de uso do solo.",2737,21/01/2026,SF-312,64,DIGITAL,PMDI 00002737/2026 Vol. 1,0,1,1,0,178,2737,0,00000,False,SF-312,False,Procedimento Interno,285,1_2026_2737_1-1,285,2026,True,N,D,N,1,64,N,S,29,SF-2,1,2026-01-21,PMDI 00002737/2026,1,I,SISTEMA,Usuário do sistema,2026-01-21,,,,,
1_2026_687_1-1,"[PI] EXECUÇÃO FISCAL 

PREFEITURA MUNICIPAL DE DIADEMA X Edeverson Lima Carvalho Me

CNJ:1507100-41.2017.8.26.0161

INSCRIÇÃO: 28791",687,18/03/2026,SAJ-11,64,SF-22,PMDI 00000687/2026 Vol. 1,0,1,1,0,178,687,0,00000,False,SAJ-11,False,Execução Fiscal,2884,1_2026_687_1-1,2884,2026,True,N,D,N,1,64,N,S,264,SF-2,1,2026-03-18,PMDI 00000687/2026,1,I,,,,,,,,
1_2025_35923_1-1,"[Presencial] RECURSO DE AUTO DE INFRAÇÃO OU IMPUGNAÇÃO DE LANÇAMENTO
Inscrição Imobiliária (IPTU): 3504801800
Número do Auto de Infração: 4416/2023
Número do Processo: 28645/2023

CONFORME REQUERIMENTO.",35923,27/01/2026,SF-312,64,SF-22,PMDI 00035923/2025 Vol. 1,0,1,1,0,178,35923,0,00000,False,SF-312,False,Recurso de Auto de Infração ou Impugnação de Lançamento,215,1_2025_35923_1-1,215,2025,True,N,D,N,1,64,N,S,264,SF-2,1,2026-01-27,PMDI 00035923/2025,1,E,GABRIEL.GOMES,GABRIEL ELUD ROCHA DA SILVA GOMES,2026-01-27,GABRIEL.GOMES,,,,
